O74740	Accession
Q92552	Q92552
O14867	O14867
F4HYF3	F4HYF3
Q6P2C8	Q6P2C8
Q08966	Q08966
Q9USP0	Q9USP0
Q9H4B0	Q9H4B0
O42936	O42936
P37727	P37727
Q06405	Q06405
Q9Z0Y7	Q9Z0Y7
Q9NQS5	Q9NQS5
Q6NWY9	Q6NWY9
P70434	P70434
Q9H3J6	Q9H3J6
P94077	P94077
Q9UMN6	Q9UMN6
Q86V15	Q86V15
Q6PI26	Q6PI26
Q8BHS6	Q8BHS6
G3UYX5	G3UYX5
Q9FJH5	Q9FJH5
P09595	P09595
E7FKV8	E7FKV8
P21135	P21135
Q9W3C1	Q9W3C1
P22812	P22812
P53220	P53220
Q42588	Q42588
Q9D742	Q9D742
Q12495	Q12495
O96624	O96624
Q9BSN7	Q9BSN7
Q14978	Q14978
Q39129	Q39129
P43572	P43572
L0R8F8	L0R8F8
Q92917	Q92917
Q9H4A3	Q9H4A3
Q04377	Q04377
P38751	P38751
O60356	O60356
Q2EMV9	Q2EMV9
Q9JHI9	Q9JHI9
Q23405	Q23405
Q9ERV1	Q9ERV1
Q8IYM2	Q8IYM2
Q8NDX5	Q8NDX5
P80470	P80470
O04209	O04209
Q95RV2	Q95RV2
Q6IQ49	Q6IQ49
Q8IVG5	Q8IVG5
P42935	P42935
Q9UIA9	Q9UIA9
Q99288	Q99288
Q3E785	Q3E785
Q9W1C5	Q9W1C5
Q9UPW6	Q9UPW6
Q9S7Z2	Q9S7Z2
Q9LF24	Q9LF24
Q9H9A7	Q9H9A7
Q4VAE3	Q4VAE3
P27716	P27716
E9QDC5	E9QDC5
Q96GE9	Q96GE9
Q86W26	Q86W26
Q9FFG0	Q9FFG0
Q923S6	Q923S6
G5EFY7	G5EFY7
Q5SXI5	Q5SXI5
O75127	O75127
Q8R3P9	Q8R3P9
Q99MU3	Q99MU3
Q9BV86	Q9BV86
Q9W1R4	Q9W1R4
Q9S9Z2	Q9S9Z2
A0A509AKT6	A0A509AKT6
Q5N712	Q5N712
Q9VKM1	Q9VKM1
Q10302	Q10302
Q9BWM7	Q9BWM7
Q8W593	Q8W593
Q9LUI2	Q9LUI2
O35683	O35683
Q9SGS4	Q9SGS4
A0A2R6QE26	A0A2R6QE26
O44783	O44783
Q8IVP5	Q8IVP5
P53958	P53958
Q8N5C6	Q8N5C6
O60682	O60682
Q92629	Q92629
Q02890	Q02890
Q6FI81	Q6FI81
Q8WYA6	Q8WYA6
Q06411	Q06411
Q7L3V2	Q7L3V2
P40535	P40535
Q9U1H0	Q9U1H0
Q92922	Q92922
Q8BY35	Q8BY35
P83213	P83213
A0A163UT06	A0A163UT06
Q7M6Y2	Q7M6Y2
Q9BQA5	Q9BQA5
O13894	O13894
P07276	P07276
Q6ZT62	Q6ZT62
Q96EA4	Q96EA4
P78811	P78811
Q9VQ91	Q9VQ91
P40041	P40041
Q9BQ83	Q9BQ83
Q9HCC9	Q9HCC9
Q02100	Q02100
Q62384	Q62384
O74359	O74359
Q9NXF7	Q9NXF7
P83758	P83758
Q9FIG9	Q9FIG9
P11471	P11471
F4K687	F4K687
Q9VPM5	Q9VPM5
O60934	O60934
Q9UT19	Q9UT19
Q7Z2D5	Q7Z2D5
Q9BRD0	Q9BRD0
P12294	P12294
Q9SS48	Q9SS48
Q94920	Q94920
Q8IY22	Q8IY22
O94238	O94238
Q03214	Q03214
P40473	P40473
P0DI81	P0DI81
Q06142	Q06142
P43116	P43116
A1Z8D0	A1Z8D0
Q69YH5	Q69YH5
P09940	P09940
Q8IEK7	Q8IEK7
A1A6M1	A1A6M1
P47174	P47174
P42695	P42695
Q9BRT3	Q9BRT3
P39996	P39996
A2AMM0	A2AMM0
O76075	O76075
Q02931	Q02931
P78563	P78563
Q5JTH9	Q5JTH9
Q9Y226	Q9Y226
A0A061ACU2	A0A061ACU2
P43122	P43122
Q02354	Q02354
Q9H8E8	Q9H8E8
Q41062	Q41062
O17850	O17850
Q8K3D3	Q8K3D3
P41046	P41046
Q8SXD4	Q8SXD4
Q01842	Q01842
P29418	P29418
Q9WUR2	Q9WUR2
Q9NPL8	Q9NPL8
P32761	P32761
Q16635	Q16635
Q9FQ08	Q9FQ08
P51509	P51509
Q7Z6L0	Q7Z6L0
Q8IZT9	Q8IZT9
O94603	O94603
Q9Y5N6	Q9Y5N6
Q8L794	Q8L794
P53883	P53883
P54657	P54657
Q67UU9	Q67UU9
Q18490	Q18490
Q9NVH2	Q9NVH2
P0DP99	P0DP99
P70460	P70460
Q54TN2	Q54TN2
Q8GXH3	Q8GXH3
O42913	O42913
Q96PY6	Q96PY6
O08773	O08773
Q34807	Q34807
Q8IXQ6	Q8IXQ6
P53256	P53256
Q6T4R5	Q6T4R5
Q9UUB6	Q9UUB6
Q10337	Q10337
Q9BZE1	Q9BZE1
Q6P9H5	Q6P9H5
Q8C5Y2	Q8C5Y2
Q5SGE0	Q5SGE0
Q13772	Q13772
P34247	P34247
Q05048	Q05048
Q9FVQ1	Q9FVQ1
O74991	O74991
Q9C7A2	Q9C7A2
Q09902	Q09902
P53854	P53854
Q06493	Q06493
P11171	P11171
Q01217	Q01217
P40065	P40065
P32451	P32451
P29509	P29509
E9Q7G0	E9Q7G0
Q8VY77	Q8VY77
Q9Y4P9	Q9Y4P9
Q5ND04	Q5ND04
Q12199	Q12199
Q9Y3B8	Q9Y3B8
O35144	O35144
Q8WXD5	Q8WXD5
Q9H6F5	Q9H6F5
Q86TG7	Q86TG7
Q9NY74	Q9NY74
Q9V466	Q9V466
Q04149	Q04149
O74547	O74547
P41696	P41696
Q5SSJ5	Q5SSJ5
P38208	P38208
P12787	P12787
P26321	P26321
Q9VLJ8	Q9VLJ8
P47035	P47035
Q9Y5R4	Q9Y5R4
Q99836	Q99836
P36152	P36152
Q949T8	Q949T8
P28147	P28147
Q93062	Q93062
F4JV80	F4JV80
Q67ZB6	Q67ZB6
Q8GXR9	Q8GXR9
Q9BT78	Q9BT78
Q9DE46	Q9DE46
Q8NHG8	Q8NHG8
P38786	P38786
Q9P1Z3	Q9P1Z3
Q9VKV5	Q9VKV5
Q6P1J9	Q6P1J9
Q8BZ97	Q8BZ97
Q9GZP8	Q9GZP8
H2KZH5	H2KZH5
Q9M394	Q9M394
Q9WVM1	Q9WVM1
Q7Z7H8	Q7Z7H8
Q99816	Q99816
Q70CQ1	Q70CQ1
O61016	O61016
P40470	P40470
Q25423	Q25423
Q60949	Q60949
Q8GWE0	Q8GWE0
Q8BHN1	Q8BHN1
Q99LC3	Q99LC3
Q93VR9	Q93VR9
Q10178	Q10178
Q92750	Q92750
O42254	O42254
Q9FMM3	Q9FMM3
O77408	O77408
P53332	P53332
Q08913	Q08913
P25032	P25032
Q9NYK5	Q9NYK5
P80483	P80483
Q8IY18	Q8IY18
Q8SX37	Q8SX37
Q811H0	Q811H0
Q8TC71	Q8TC71
Q8TC26	Q8TC26
Q940X9	Q940X9
P70331	P70331
Q8GY61	Q8GY61
O75475	O75475
P21228	P21228
Q10665	Q10665
Q9UUG2	Q9UUG2
Q17990	Q17990
Q8NCG7	Q8NCG7
P33076	P33076
P14064	P14064
Q9SX77	Q9SX77
Q9P2D0	Q9P2D0
Q13562	Q13562
Q00422	Q00422
B5TYT3	B5TYT3
Q5XIQ3	Q5XIQ3
Q39083	Q39083
P82412	P82412
Q9BSJ6	Q9BSJ6
Q8N726	Q8N726
Q5PP37	Q5PP37
D6VTK4	D6VTK4
Q9BU64	Q9BU64
Q1K8V2	Q1K8V2
G2TRN4	G2TRN4
Q9LRI8	Q9LRI8
Q9V3H8	Q9V3H8
Q9URV9	Q9URV9
P40387	P40387
Q60864	Q60864
Q8IVS8	Q8IVS8
Q68CP9	Q68CP9
P25451	P25451
Q26366	Q26366
G5EDP2	G5EDP2
Q9BQ65	Q9BQ65
Q9DAG4	Q9DAG4
Q8IXI2	Q8IXI2
O00483	O00483
P25359	P25359
Q9H204	Q9H204
Q96DN6	Q96DN6
Q4GZF6	Q4GZF6
Q12208	Q12208
Q5JTV8	Q5JTV8
Q9UL40	Q9UL40
Q9Y7K9	Q9Y7K9
P43579	P43579
P51906	P51906
A8MUP2	A8MUP2
O75607	O75607
P25644	P25644
Q15326	Q15326
P19659	P19659
Q9LPZ4	Q9LPZ4
P55786	P55786
Q2VLK6	Q2VLK6
P13468	P13468
Q02086	Q02086
Q14CZ7	Q14CZ7
Q9Y0B7	Q9Y0B7
P38749	P38749
P61581	P61581
Q9H190	Q9H190
Q11184	Q11184
Q8T0G4	Q8T0G4
O17286	O17286
Q9NVS2	Q9NVS2
Q9D945	Q9D945
P25573	P25573
Q8IYT2	Q8IYT2
P06785	P06785
Q9BXU7	Q9BXU7
Q12308	Q12308
P03874	P03874
Q9C103	Q9C103
Q71SY5	Q71SY5
Q06148	Q06148
Q6ZWS8	Q6ZWS8
Q8GZ79	Q8GZ79
P21269	P21269
P35632	P35632
P25346	P25346
Q8VHW8	Q8VHW8
Q91ZX6	Q91ZX6
Q9N658	Q9N658
O61715	O61715
Q8S9G8	Q8S9G8
A0A075TXZ8	A0A075TXZ8
Q767K8	Q767K8
Q01664	Q01664
Q42564	Q42564
P34766	P34766
Q9GZU8	Q9GZU8
A0A2R6X6S3	A0A2R6X6S3
Q9C0C6	Q9C0C6
Q9VH36	Q9VH36
Q54T86	Q54T86
Q09904	Q09904
Q8N6L0	Q8N6L0
P10834	P10834
Q12020	Q12020
Q8CGU1	Q8CGU1
Q84JE8	Q84JE8
Q38890	Q38890
P46951	P46951
Q8SVA6	Q8SVA6
P08708	P08708
P53062	P53062
P27895	P27895
P17890	P17890
Q6AXT7	Q6AXT7
P82413	P82413
Q944A6	Q944A6
Q8CH19	Q8CH19
O20029	O20029
Q8VIJ5	Q8VIJ5
P42356	P42356
P51530	P51530
Q9DC04	Q9DC04
P32048	P32048
P06506	P06506
Q9M022	Q9M022
P10627	P10627
Q9BZB8	Q9BZB8
Q6K678	Q6K678
Q38FI2	Q38FI2
P51970	P51970
O77059	O77059
P50105	P50105
Q9D115	Q9D115
P52654	P52654
P33322	P33322
P04117	P04117
Q9U3D6	Q9U3D6
P36632	P36632
P41814	P41814
P53119	P53119
O60447	O60447
Q8CIN9	Q8CIN9
Q9S720	Q9S720
Q2M3C6	Q2M3C6
Q96NW4	Q96NW4
Q07589	Q07589
Q94CD4	Q94CD4
Q9NWQ9	Q9NWQ9
Q8JFQ4	Q8JFQ4
Q63638	Q63638
O94294	O94294
Q14192	Q14192
A3R064	A3R064
O60729	O60729
P22697	P22697
Q9H6D3	Q9H6D3
Q9P5M9	Q9P5M9
P40014	P40014
P25555	P25555
P0CT73	P0CT73
V5IMN1	V5IMN1
Q9P6S5	Q9P6S5
Q9SJX7	Q9SJX7
Q69ZR9	Q69ZR9
P38985	P38985
Q9D067	Q9D067
J9VT33	J9VT33
O88339	O88339
Q96T68	Q96T68
Q9SLB9	Q9SLB9
Q9C9T3	Q9C9T3
A9UHW6	A9UHW6
Q94AU9	Q94AU9
Q9SU30	Q9SU30
Q9VPF9	Q9VPF9
P42937	P42937
Q8GYH7	Q8GYH7
Q64702	Q64702
P30989	P30989
P82248	P82248
Q18593	Q18593
Q8SKU2	Q8SKU2
P40688	P40688
Q4WUK4	Q4WUK4
P53114	P53114
Q6IUP1	Q6IUP1
Q9NRN7	Q9NRN7
Q9GZY4	Q9GZY4
Q86W54	Q86W54
P17987	P17987
P47802	P47802
Q37707	Q37707
O02696	O02696
Q96LL9	Q96LL9
Q06162	Q06162
Q9D0Z3	Q9D0Z3
O04983	O04983
Q9SZR9	Q9SZR9
Q8RX78	Q8RX78
Q02783	Q02783
Q16773	Q16773
A6NLJ0	A6NLJ0
Q9GZT3	Q9GZT3
Q9Y2I9	Q9Y2I9
P18625	P18625
Q9GZS1	Q9GZS1
Q6PFX2	Q6PFX2
Q6PP77	Q6PP77
Q92373	Q92373
P91278	P91278
Q84N48	Q84N48
Q9HGN5	Q9HGN5
Q9SID1	Q9SID1
P07213	P07213
Q9SYQ0	Q9SYQ0
P53866	P53866
O09171	O09171
Q7Z412	Q7Z412
Q96E29	Q96E29
P27472	P27472
Q6Q4D0	Q6Q4D0
Q86X29	Q86X29
Q7ZT47	Q7ZT47
B5DFG1	B5DFG1
Q86YI8	Q86YI8
P38812	P38812
Q19972	Q19972
Q12524	Q12524
P58753	P58753
Q92349	Q92349
Q9VBW9	Q9VBW9
Q01454	Q01454
Q9VW15	Q9VW15
P38882	P38882
Q6NUD0	Q6NUD0
Q12510	Q12510
P12689	P12689
Q9NJP9	Q9NJP9
P41005	P41005
P06813	P06813
Q801E2	Q801E2
Q1EHW4	Q1EHW4
O82392	O82392
P32899	P32899
Q9JJG9	Q9JJG9
Q9ZQH0	Q9ZQH0
Q9LIK9	Q9LIK9
G5ECD6	G5ECD6
P83214	P83214
P21190	P21190
O60503	O60503
Q9D995	Q9D995
Q8N699	Q8N699
Q08580	Q08580
Q9UBE0	Q9UBE0
Q8N4Q1	Q8N4Q1
O81242	O81242
O94614	O94614
Q9Y2F5	Q9Y2F5
Q80WJ1	Q80WJ1
P32773	P32773
Q96EU6	Q96EU6
P29033	P29033
P41828	P41828
Q9LLY4	Q9LLY4
Q8LAC4	Q8LAC4
O94286	O94286
Q8WV24	Q8WV24
O74511	O74511
Q9SMH4	Q9SMH4
Q3U0V2	Q3U0V2
Q9U2M1	Q9U2M1
Q04083	Q04083
Q62796	Q62796
Q15170	Q15170
Q9GTP4	Q9GTP4
Q01613	Q01613
Q9Y3I1	Q9Y3I1
P46604	P46604
Q9CR14	Q9CR14
P87000	P87000
Q8VZV9	Q8VZV9
P46674	P46674
Q5VWQ8	Q5VWQ8
Q9LTY1	Q9LTY1
A6NK58	A6NK58
Q10336	Q10336
Q3UMZ3	Q3UMZ3
Q7TSD4	Q7TSD4
Q8K480	Q8K480
Q68FY1	Q68FY1
Q96PZ0	Q96PZ0
Q8H0V4	Q8H0V4
Q9HGL9	Q9HGL9
P30419	P30419
Q969S3	Q969S3
Q9CPX8	Q9CPX8
Q9FFF5	Q9FFF5
Q12530	Q12530
P42891	P42891
Q1M168	Q1M168
Q9Z213	Q9Z213
Q6NLC1	Q6NLC1
Q9D4J1	Q9D4J1
Q9BUZ4	Q9BUZ4
C0LLJ0	C0LLJ0
Q9VUB5	Q9VUB5
Q8IH18	Q8IH18
Q84JK2	Q84JK2
Q9VLL3	Q9VLL3
Q8N108	Q8N108
Q9H444	Q9H444
F4IN23	F4IN23
Q95ZL9	Q95ZL9
Q8K4V4	Q8K4V4
B7Z0I7	B7Z0I7
Q9UBS8	Q9UBS8
O94225	O94225
Q8R4T5	Q8R4T5
Q6EPZ0	Q6EPZ0
Q3KRA9	Q3KRA9
Q8RWE8	Q8RWE8
Q15652	Q15652
Q5VWN6	Q5VWN6
Q9VV74	Q9VV74
P32970	P32970
O89019	O89019
Q92905	Q92905
Q08959	Q08959
Q06679	Q06679
Q12373	Q12373
Q9HCI7	Q9HCI7
Q14DK4	Q14DK4
Q5N829	Q5N829
P52553	P52553
Q05863	Q05863
Q9NV06	Q9NV06
Q9FWA3	Q9FWA3
Q9P7P2	Q9P7P2
P38292	P38292
Q8N3I7	Q8N3I7
O49621	O49621
P38996	P38996
P57725	P57725
Q2M1K9	Q2M1K9
Q9VTL1	Q9VTL1
Q96GX5	Q96GX5
P53196	P53196
Q9P2D8	Q9P2D8
P49107	P49107
Q9SEL7	Q9SEL7
P32785	P32785
Q13216	Q13216
P40576	P40576
Q9LSV0	Q9LSV0
Q8N695	Q8N695
P32250	P32250
Q92565	Q92565
Q18412	Q18412
Q7SGU0	Q7SGU0
Q64MA3	Q64MA3
Q9M276	Q9M276
P53170	P53170
Q6DRC5	Q6DRC5
Q93WK5	Q93WK5
Q9LVV5	Q9LVV5
Q9URX9	Q9URX9
Q9P2Y4	Q9P2Y4
Q10S44	Q10S44
O96623	O96623
Q38895	Q38895
Q6ZI01	Q6ZI01
Q9FGR0	Q9FGR0
Q9FMZ0	Q9FMZ0
Q69WS3	Q69WS3
P29617	P29617
Q32065	Q32065
Q9VGL8	Q9VGL8
D2K8N5	D2K8N5
Q9SHZ6	Q9SHZ6
P62685	P62685
Q9SJ50	Q9SJ50
Q2TAL8	Q2TAL8
Q9ZV06	Q9ZV06
Q22795	Q22795
Q6A028	Q6A028
Q53EK2	Q53EK2
Q9V6L9	Q9V6L9
Q80VR2	Q80VR2
Q76LB1	Q76LB1
F4IXE7	F4IXE7
Q94CV1	Q94CV1
Q63425	Q63425
S0DQI7	S0DQI7
Q0VC21	Q0VC21
Q05498	Q05498
Q9ZVD0	Q9ZVD0
Q9U6M1	Q9U6M1
P16580	P16580
Q9VQ30	Q9VQ30
P70444	P70444
B2RWS6	B2RWS6
Q04199	Q04199
Q7SG49	Q7SG49
Q02630	Q02630
O74954	O74954
Q9FHK4	Q9FHK4
Q8K400	Q8K400
Q9ZVJ3	Q9ZVJ3
P20052	P20052
Q9FNH6	Q9FNH6
Q9FLD5	Q9FLD5
P40492	P40492
Q0JCC3	Q0JCC3
Q9H582	Q9H582
Q95U54	Q95U54
Q09823	Q09823
Q54BW5	Q54BW5
P46059	P46059
E5L8F7	E5L8F7
Q96DY5	Q96DY5
Q9H7B2	Q9H7B2
Q9UT23	Q9UT23
A0A076FFM5	A0A076FFM5
P87017	P87017
P53972	P53972
P22289	P22289
Q14CB8	Q14CB8
Q4U0S5	Q4U0S5
P48237	P48237
Q15723	Q15723
Q8K337	Q8K337
O14161	O14161
Q06236	Q06236
Q9BVJ7	Q9BVJ7
P19407	P19407
Q80SU7	Q80SU7
Q5M775	Q5M775
Q8TAF3	Q8TAF3
Q86YH6	Q86YH6
O13758	O13758
P35435	P35435
Q06506	Q06506
Q5DTW7	Q5DTW7
Q01453	Q01453
Q99986	Q99986
P57080	P57080
Q19253	Q19253
P40317	P40317
Q9FMW8	Q9FMW8
Q8AWF4	Q8AWF4
A2A9C3	A2A9C3
Q9JIB0	Q9JIB0
E9PXM9	E9PXM9
O74905	O74905
Q9ASS2	Q9ASS2
Q9BRP8	Q9BRP8
P35734	P35734
P82916	P82916
Q9UI43	Q9UI43
Q9SII9	Q9SII9
Q8VHQ2	Q8VHQ2
Q6PCT2	Q6PCT2
Q24322	Q24322
Q00055	Q00055
Q8BVG4	Q8BVG4
Q62747	Q62747
Q9P0K7	Q9P0K7
Q9UQ13	Q9UQ13
Q09793	Q09793
O94410	O94410
O94972	O94972
P47141	P47141
P38889	P38889
P60323	P60323
O13563	O13563
O94258	O94258
Q12789	Q12789
Q940L4	Q940L4
Q92979	Q92979
P70670	P70670
P49021	P49021
P53850	P53850
Q04279	Q04279
A8MZ59	A8MZ59
Q86WV1	Q86WV1
P16554	P16554
Q9VEB4	Q9VEB4
P53142	P53142
Q8IDM6	Q8IDM6
Q94BS2	Q94BS2
O59800	O59800
Q8WYK0	Q8WYK0
P33759	P33759
P38193	P38193
Q9H061	Q9H061
Q61009	Q61009
P25270	P25270
Q62318	Q62318
Q9Y804	Q9Y804
Q8WUF5	Q8WUF5
Q03435	Q03435
Q56YA5	Q56YA5
Q9NYL2	Q9NYL2
Q32P44	Q32P44
P53909	P53909
Q8N8Q3	Q8N8Q3
Q1W1G1	Q1W1G1
P38170	P38170
Q17569	Q17569
J7M799	J7M799
Q9NYG5	Q9NYG5
O94516	O94516
Q8IRW8	Q8IRW8
Q12753	Q12753
Q9C7G6	Q9C7G6
Q03898	Q03898
Q60865	Q60865
Q9UKL0	Q9UKL0
Q96GC5	Q96GC5
Q14164	Q14164
Q9UPS6	Q9UPS6
Q9Y5S8	Q9Y5S8
Q3UL53	Q3UL53
P05066	P05066
Q8VXV7	Q8VXV7
Q9WTJ6	Q9WTJ6
Q78T81	Q78T81
Q92351	Q92351
P47076	P47076
P42027	P42027
Q00816	Q00816
O14212	O14212
O60936	O60936
P53881	P53881
P36631	P36631
Q23500	Q23500
O23403	O23403
O08816	O08816
P07272	P07272
O14464	O14464
P10914	P10914
Q9VKJ9	Q9VKJ9
Q9ZQI7	Q9ZQI7
P20436	P20436
O82796	O82796
Q9LR91	Q9LR91
P42948	P42948
Q945P0	Q945P0
Q9UUG9	Q9UUG9
P22980	P22980
Q8WYQ5	Q8WYQ5
Q8C206	Q8C206
Q12216	Q12216
Q9CYF5	Q9CYF5
Q10204	Q10204
Q04178	Q04178
Q9H0F6	Q9H0F6
P48995	P48995
Q08949	Q08949
O95229	O95229
P36531	P36531
Q91VJ5	Q91VJ5
Q14019	Q14019
A0A5K7RLP0	A0A5K7RLP0
Q9SCR2	Q9SCR2
P23758	P23758
Q03254	Q03254
Q21738	Q21738
P87052	P87052
Q7SH52	Q7SH52
Q8BMA3	Q8BMA3
P82024	P82024
P83510	P83510
Q8L9Y3	Q8L9Y3
Q99MA9	Q99MA9
Q02204	Q02204
O13297	O13297
Q9NY27	Q9NY27
Q86WA8	Q86WA8
O75004	O75004
Q12774	Q12774
P43583	P43583
Q9USY8	Q9USY8
Q708S7	Q708S7
D3Z7H4	D3Z7H4
O43482	O43482
O13683	O13683
Q8WU10	Q8WU10
P21276	P21276
Q6ZBH6	Q6ZBH6
P49334	P49334
P05022	P05022
Q96HS1	Q96HS1
Q567V2	Q567V2
P46310	P46310
Q8IZY5	Q8IZY5
O22793	O22793
Q13769	Q13769
O45952	O45952
P97346	P97346
Q80ZQ9	Q80ZQ9
Q9H040	Q9H040
Q9USJ8	Q9USJ8
Q23973	Q23973
Q9SB47	Q9SB47
Q9CWR7	Q9CWR7
Q8TF63	Q8TF63
Q03124	Q03124
M0R7Z9	M0R7Z9
Q13356	Q13356
P52172	P52172
Q8BXP5	Q8BXP5
P41970	P41970
Q9SBK6	Q9SBK6
Q12036	Q12036
Q8VZE7	Q8VZE7
Q04712	Q04712
O74563	O74563
Q9C5J9	Q9C5J9
Q08245	Q08245
P97287	P97287
Q39057	Q39057
F4J7T2	F4J7T2
Q8N567	Q8N567
Q8CJF7	Q8CJF7
Q9Y4F3	Q9Y4F3
Q15560	Q15560
O46043	O46043
Q9FVE6	Q9FVE6
O65258	O65258
Q96KR7	Q96KR7
K4C9E2	K4C9E2
F4JYE9	F4JYE9
O14925	O14925
Q92913	Q92913
Q91YT7	Q91YT7
Q569Z6	Q569Z6
Q9SSW0	Q9SSW0
Q9Y6K5	Q9Y6K5
Q03218	Q03218
Q8H1D4	Q8H1D4
Q8RVC7	Q8RVC7
P41910	P41910
Q17958	Q17958
Q9NX70	Q9NX70
O35253	O35253
Q9VT00	Q9VT00
Q9DAG5	Q9DAG5
Q8VEH6	Q8VEH6
G5EG17	G5EG17
P32344	P32344
Q9ULR0	Q9ULR0
O14113	O14113
P47825	P47825
O88271	O88271
Q9D5U8	Q9D5U8
O75695	O75695
Q8C624	Q8C624
Q9C9G6	Q9C9G6
O74736	O74736
Q9Y6K9	Q9Y6K9
P31376	P31376
O13919	O13919
B6HU70	B6HU70
Q99JT1	Q99JT1
Q9VPQ6	Q9VPQ6
Q5AMH6	Q5AMH6
Q53AQ4	Q53AQ4
Q920Q2	Q920Q2
A0A1D9BZF0	A0A1D9BZF0
A0A0D1DYJ6	A0A0D1DYJ6
P36527	P36527
P19536	P19536
P38319	P38319
Q9LSB9	Q9LSB9
O15287	O15287
Q9NQC7	Q9NQC7
Q93WL3	Q93WL3
Q6NUF4	Q6NUF4
P46014	P46014
Q9Y3S1	Q9Y3S1
K4D3V7	K4D3V7
Q940M2	Q940M2
P0CT58	P0CT58
Q8RWL4	Q8RWL4
Q10164	Q10164
Q9Y6J0	Q9Y6J0
O13881	O13881
P21245	P21245
Q03937	Q03937
Q96BR5	Q96BR5
Q1K528	Q1K528
O95696	O95696
Q5VTT2	Q5VTT2
Q9UHI7	Q9UHI7
P36080	P36080
P38806	P38806
Q02206	Q02206
P42847	P42847
Q04867	Q04867
Q9VIF6	Q9VIF6
Q9GZN7	Q9GZN7
Q9BPW8	Q9BPW8
Q25825	Q25825
O59746	O59746
P47988	P47988
V6CLN5	V6CLN5
Q8N3Z6	Q8N3Z6
Q9LQK7	Q9LQK7
Q63HN8	Q63HN8
A8K830	A8K830
P22570	P22570
Q58DZ9	Q58DZ9
Q96GZ6	Q96GZ6
D3Z6Q9	D3Z6Q9
Q9VLP7	Q9VLP7
O96759	O96759
Q9VX31	Q9VX31
A0A161CFW5	A0A161CFW5
P09932	P09932
Q03565	Q03565
Q91XJ0	Q91XJ0
P62249	P62249
O13769	O13769
A2YMU2	A2YMU2
O59744	O59744
Q0P651	Q0P651
Q8BG79	Q8BG79
Q6EKJ0	Q6EKJ0
P97460	P97460
Q19541	Q19541
O81852	O81852
Q9Y5U2	Q9Y5U2
Q6PCZ4	Q6PCZ4
Q9FN52	Q9FN52
G5EC89	G5EC89
Q96T49	Q96T49
F4JZY1	F4JZY1
Q9VBX2	Q9VBX2
Q9H0F5	Q9H0F5
P40513	P40513
Q9SU56	Q9SU56
Q3E764	Q3E764
P53155	P53155
A0A0D1CVS5	A0A0D1CVS5
Q9Y5W9	Q9Y5W9
Q8BKA3	Q8BKA3
Q22002	Q22002
Q9FX53	Q9FX53
Q9LD83	Q9LD83
Q8R5A3	Q8R5A3
C6KT66	C6KT66
O48528	O48528
P36523	P36523
Q7TPD6	Q7TPD6
Q8W191	Q8W191
Q03430	Q03430
Q13794	Q13794
Q7KMJ6	Q7KMJ6
Q8BG21	Q8BG21
Q9FZK4	Q9FZK4
P38162	P38162
Q8S4F6	Q8S4F6
Q8WXE1	Q8WXE1
Q96FX2	Q96FX2
Q0WNB1	Q0WNB1
Q3MV14	Q3MV14
Q14CX5	Q14CX5
Q5AL36	Q5AL36
Q9UKT7	Q9UKT7
O47027	O47027
Q9UIV1	Q9UIV1
P53188	P53188
P13788	P13788
O75689	O75689
P32843	P32843
P39706	P39706
Q03153	Q03153
B2D6P4	B2D6P4
Q9EQW6	Q9EQW6
Q5TGZ0	Q5TGZ0
P53983	P53983
E9Q5F9	E9Q5F9
P39112	P39112
Q9M365	Q9M365
P48039	P48039
A8J785	A8J785
Q18825	Q18825
P30999	P30999
Q9H4I3	Q9H4I3
Q7S711	Q7S711
Q8VZL6	Q8VZL6
Q8CII8	Q8CII8
Q04005	Q04005
Q9BRU2	Q9BRU2
O54825	O54825
Q9BRA0	Q9BRA0
A6H8H2	A6H8H2
Q9UK41	Q9UK41
Q9ZNT1	Q9ZNT1
P46943	P46943
Q07510	Q07510
O74792	O74792
Q9JMI1	Q9JMI1
D3YZI9	D3YZI9
O74910	O74910
P25420	P25420
Q0D2I5	Q0D2I5
Q8WTP8	Q8WTP8
Q7K3L1	Q7K3L1
P93788	P93788
A0A075TXZ1	A0A075TXZ1
O04616	O04616
Q3V0Q6	Q3V0Q6
A0A509APT1	A0A509APT1
Q9Y6D9	Q9Y6D9
Q99MI9	Q99MI9
P84090	P84090
Q8N4T4	Q8N4T4
O16102	O16102
Q04073	Q04073
O80931	O80931
Q99P30	Q99P30
Q9DBN1	Q9DBN1
Q9NRY2	Q9NRY2
P53721	P53721
Q6IDA6	Q6IDA6
P38838	P38838
Q06697	Q06697
Q9FNB0	Q9FNB0
Q06554	Q06554
P47128	P47128
Q9CR61	Q9CR61
Q7ZT48	Q7ZT48
O94687	O94687
O75934	O75934
P25490	P25490
Q9LVM5	Q9LVM5
Q9NY33	Q9NY33
Q8NC51	Q8NC51
Q9FE46	Q9FE46
Q9VKQ9	Q9VKQ9
P39715	P39715
P34111	P34111
Q56P03	Q56P03
Q96K80	Q96K80
P83111	P83111
Q99LD4	Q99LD4
Q6P4H8	Q6P4H8
Q86Y26	Q86Y26
A9LNK9	A9LNK9
Q922R5	Q922R5
A1A519	A1A519
Q9SR62	Q9SR62
Q3MIT2	Q3MIT2
Q14765	Q14765
Q3USZ2	Q3USZ2
