O74740	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
Q9LDY5	Q9LDY5	Arabidopsis thaliana	Plants	247		False
O74331	O74331	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	363		False
Q9LV91	Q9LV91	Arabidopsis thaliana	Plants	576		False
F4KH86	F4KH86	Arabidopsis thaliana	Plants	400		False
C0HM98	C0HM98	Homo sapiens	Metazoa	186		False
Q1MTR4	Q1MTR4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	424		False
P38169	P38169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	460		False
O88291	O88291	Mus musculus	Metazoa	580		False
Q01329	Q01329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785		False
P25502	P25502	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	979		False
Q8L4H0	Q8L4H0	Arabidopsis thaliana	Plants	500		False
Q6XQN6	Q6XQN6	Homo sapiens	Metazoa	538		False
Q9SZD6	Q9SZD6	Arabidopsis thaliana	Plants	953		False
A2ARP9	A2ARP9	Mus musculus	Metazoa	588		False
O75106	O75106	Homo sapiens	Metazoa	756		True
O94580	O94580	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	282		False
O43313	O43313	Homo sapiens	Metazoa	823		False
F4JTE7	F4JTE7	Arabidopsis thaliana	Plants	298		False
P38137	P38137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	543		False
Q12049	Q12049	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	470		False
Q14249	Q14249	Homo sapiens	Metazoa	297		False
P40061	P40061	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1430		False
Q9SI64	Q9SI64	Arabidopsis thaliana	Plants	702		False
B6VQ60	B6VQ60	Caenorhabditis elegans	Metazoa	609		False
Q8TEV9	Q8TEV9	Homo sapiens	Metazoa	937		False
P87297	P87297	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	90		False
B0F481	B0F481	Arabidopsis thaliana	Plants	833		False
O18017	O18017	Caenorhabditis elegans	Metazoa	988		False
O74478	O74478	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	587		False
O43597	O43597	Homo sapiens	Metazoa	315		False
Q13156	Q13156	Homo sapiens	Metazoa	261		False
Q9XZS8	Q9XZS8	Drosophila melanogaster	Metazoa	613		False
F4JRB0	F4JRB0	Arabidopsis thaliana	Plants	363		False
Q940H2	Q940H2	Arabidopsis thaliana	Plants	237		False
O55057	O55057	Mus musculus	Metazoa	150		False
Q8GZM7	Q8GZM7	Arabidopsis thaliana	Plants	478		False
Q9NRF8	Q9NRF8	Homo sapiens	Metazoa	586		False
Q9CQJ2	Q9CQJ2	Mus musculus	Metazoa	290		False
P38198	P38198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1513		False
C4QWS8	C4QWS8	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	363		False
Q9MBA2	Q9MBA2	Arabidopsis thaliana	Plants	326		False
Q197W8	Q197W8	Arabidopsis thaliana	Plants	473		False
Q04545	Q04545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1251		False
Q9H814	Q9H814	Homo sapiens	Metazoa	394		False
Q9H1I8	Q9H1I8	Homo sapiens	Metazoa	757		False
Q09675	Q09675	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240		False
Q8IVS2	Q8IVS2	Homo sapiens	Metazoa	390		False
P47108	P47108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1174		False
Q8IWV7	Q8IWV7	Homo sapiens	Metazoa	1749		False
P30429	P30429	Caenorhabditis elegans	Metazoa	549		False
P36052	P36052	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	402		False
W7MAT5	W7MAT5	Gibberella moniliformis (strain M3125 / FGSC 7600)	Fungi	574		True
Q9TZ64	Q9TZ64	Caenorhabditis elegans	Metazoa	497		False
O14079	O14079	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	624		False
Q1MTS0	Q1MTS0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	597		False
Q9Y2M2	Q9Y2M2	Homo sapiens	Metazoa	375		False
Q14997	Q14997	Homo sapiens	Metazoa	1843		False
A8MR65	A8MR65	Arabidopsis thaliana	Plants	201		False
O94268	O94268	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	608		False
F7VJQ1	F7VJQ1	Homo sapiens	Metazoa	73		True
Q5THR3	Q5THR3	Homo sapiens	Metazoa	1501		False
Q6A0D4	Q6A0D4	Mus musculus	Metazoa	554		False
Q10432	Q10432	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	735		False
Q9JM05	Q9JM05	Mus musculus	Metazoa	507		False
Q9NZ63	Q9NZ63	Homo sapiens	Metazoa	289		False
P32833	P32833	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620		False
P38737	P38737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1868		False
A1Z8F4	A1Z8F4	Drosophila melanogaster	Metazoa	2577		False
Q6DN90	Q6DN90	Homo sapiens	Metazoa	963		False
Q9NZN9	Q9NZN9	Homo sapiens	Metazoa	384		False
Q8WZJ8	Q8WZJ8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	210		False
Q04408	Q04408	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483		False
O75832	O75832	Homo sapiens	Metazoa	226		False
Q9NPD3	Q9NPD3	Homo sapiens	Metazoa	245		False
P34226	P34226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	696		False
Q67Y93	Q67Y93	Arabidopsis thaliana	Plants	191		False
P53838	P53838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576		True
Q9NVV9	Q9NVV9	Homo sapiens	Metazoa	213		False
Q9LZF1	Q9LZF1	Arabidopsis thaliana	Plants	392		False
Q0WR66	Q0WR66	Arabidopsis thaliana	Plants	793		False
P38205	P38205	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	684		False
P40958	P40958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	196		False
Q9HBL7	Q9HBL7	Homo sapiens	Metazoa	147		True
Q95Q39	Q95Q39	Caenorhabditis elegans	Metazoa	287		True
O96237	O96237	Plasmodium falciparum (isolate 3D7)	Other	899		False
Q53KW9	Q53KW9	Oryza sativa subsp. japonica	Plants	803		False
Q12318	Q12318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	242		False
P06774	P06774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265		False
Q9FNC7	Q9FNC7	Arabidopsis thaliana	Plants	717		False
Q6ZWQ0	Q6ZWQ0	Mus musculus	Metazoa	6874		False
Q0ZLH2	Q0ZLH2	Mus musculus	Metazoa	352		False
Q9ULP9	Q9ULP9	Homo sapiens	Metazoa	559		False
Q5VWG9	Q5VWG9	Homo sapiens	Metazoa	929		False
Q53H47	Q53H47	Homo sapiens	Metazoa	684		False
Q17TI5	Q17TI5	Arabidopsis thaliana	Plants	344		False
Q96A26	Q96A26	Homo sapiens	Metazoa	154		False
Q9BT17	Q9BT17	Homo sapiens	Metazoa	334		False
Q16385	Q16385	Homo sapiens	Metazoa	188		False
O76064	O76064	Homo sapiens	Metazoa	485		False
Q9CQY9	Q9CQY9	Mus musculus	Metazoa	76		True
P82192	P82192	Spinacia oleracea	Plants	258		False
Q05923	Q05923	Homo sapiens	Metazoa	314		False
P39678	P39678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	833		False
Q800K6	Q800K6	Xenopus laevis	Metazoa	1513		False
P30414	P30414	Homo sapiens	Metazoa	1462		False
F4KCE9	F4KCE9	Arabidopsis thaliana	Plants	598		False
Q02959	Q02959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	697		False
Q9VGE2	Q9VGE2	Drosophila melanogaster	Metazoa	384		False
Q80T79	Q80T79	Mus musculus	Metazoa	3707		True
Q0VG06	Q0VG06	Homo sapiens	Metazoa	881		False
O74418	O74418	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244		False
Q7Z2W9	Q7Z2W9	Homo sapiens	Metazoa	205		False
O60057	O60057	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	411		False
O59740	O59740	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	522		False
Q9BWF2	Q9BWF2	Homo sapiens	Metazoa	469		False
P34706	P34706	Caenorhabditis elegans	Metazoa	2150		False
Q9P7A0	Q9P7A0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	319		False
P38782	P38782	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295		False
Q04179	Q04179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	340		False
Q03770	Q03770	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	852		False
Q06089	Q06089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161		True
Q9NXR7	Q9NXR7	Homo sapiens	Metazoa	383		False
Q5ICL9	Q5ICL9	Arabidopsis thaliana	Plants	574		False
P50479	P50479	Homo sapiens	Metazoa	330		False
Q941Q3	Q941Q3	Arabidopsis thaliana	Plants	524		False
F4JF14	F4JF14	Arabidopsis thaliana	Plants	953		False
Q9NRR8	Q9NRR8	Homo sapiens	Metazoa	79		False
Q04751	Q04751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	285		False
P12354	P12354	Spinacia oleracea	Plants	125		False
Q14676	Q14676	Homo sapiens	Metazoa	2089		False
Q9FJL0	Q9FJL0	Arabidopsis thaliana	Plants	1241		False
Q9M9F0	Q9M9F0	Arabidopsis thaliana	Plants	311		False
Q1ZXQ0	Q1ZXQ0	Dictyostelium discoideum	Other	1019		False
A0A7P0TBJ1	A0A7P0TBJ1	Homo sapiens	Metazoa	273		False
Q9VV73	Q9VV73	Drosophila melanogaster	Metazoa	841		False
P07236	P07236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	462		False
P97577	P97577	Rattus norvegicus	Metazoa	393		False
Q9GZN2	Q9GZN2	Homo sapiens	Metazoa	237		False
O60287	O60287	Homo sapiens	Metazoa	2271		False
Q4KMQ1	Q4KMQ1	Homo sapiens	Metazoa	711		False
P29547	P29547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	415		False
Q9VEX9	Q9VEX9	Drosophila melanogaster	Metazoa	150		False
Q86VI4	Q86VI4	Homo sapiens	Metazoa	317		False
P51577	P51577	Rattus norvegicus	Metazoa	388		True
Q9UTT1	Q9UTT1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1129		False
P04840	P04840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		True
A2AMT1	A2AMT1	Mus musculus	Metazoa	669		False
Q9QXN0	Q9QXN0	Mus musculus	Metazoa	1986		False
Q10LI1	Q10LI1	Oryza sativa subsp. japonica	Plants	260		False
P21580	P21580	Homo sapiens	Metazoa	790		False
G5EF48	G5EF48	Caenorhabditis elegans	Metazoa	350		True
Q96ST2	Q96ST2	Homo sapiens	Metazoa	819		False
P93015	P93015	Arabidopsis thaliana	Plants	131		False
Q8BWT5	Q8BWT5	Mus musculus	Metazoa	1523		False
O60130	O60130	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	827		False
Q9C9B9	Q9C9B9	Arabidopsis thaliana	Plants	643		False
Q96N11	Q96N11	Homo sapiens	Metazoa	449		False
O13601	O13601	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	494		False
P93306	P93306	Arabidopsis thaliana	Plants	394		False
P32121	P32121	Homo sapiens	Metazoa	409		False
P38783	P38783	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	130		False
Q5T4T6	Q5T4T6	Homo sapiens	Metazoa	812		False
O60097	O60097	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	526		False
H2L006	H2L006	Caenorhabditis elegans	Metazoa	451		True
Q8IYL3	Q8IYL3	Homo sapiens	Metazoa	243		False
Q9H3P2	Q9H3P2	Homo sapiens	Metazoa	528		False
Q9FDW8	Q9FDW8	Arabidopsis thaliana	Plants	135		False
Q9NQT4	Q9NQT4	Homo sapiens	Metazoa	235		False
Q9ULZ2	Q9ULZ2	Homo sapiens	Metazoa	295		False
P23116	P23116	Mus musculus	Metazoa	1344		False
P0DJI6	P0DJI6	Mus musculus	Metazoa	106		False
P49919	P49919	Mus musculus	Metazoa	348		False
Q8LGD5	Q8LGD5	Arabidopsis thaliana	Plants	222		False
Q3MJK5	Q3MJK5	Rattus norvegicus	Metazoa	1484		False
Q9H9T3	Q9H9T3	Homo sapiens	Metazoa	547		False
Q0IGK1	Q0IGK1	Arabidopsis thaliana	Plants	445		False
O74824	O74824	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	308		False
Q9V9W8	Q9V9W8	Drosophila melanogaster	Metazoa	815		False
B0L3A2	B0L3A2	Homo sapiens	Metazoa	85		True
O74365	O74365	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	865		False
Q8WVM0	Q8WVM0	Homo sapiens	Metazoa	346		False
Q93ZF6	Q93ZF6	Arabidopsis thaliana	Plants	153		False
Q9V7P1	Q9V7P1	Drosophila melanogaster	Metazoa	506		False
Q18508	Q18508	Caenorhabditis elegans	Metazoa	1784		False
Q8L7N4	Q8L7N4	Arabidopsis thaliana	Plants	343		True
P89114	P89114	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	91		False
Q5VRD7	Q5VRD7	Oryza sativa subsp. japonica	Plants	53		True
Q9SQR3	Q9SQR3	Arabidopsis thaliana	Plants	267		False
A0A075TRB3	A0A075TRB3	Penicillium expansum	Fungi	259		False
Q9LRB7	Q9LRB7	Oryza sativa subsp. japonica	Plants	325		True
F4JGZ1	F4JGZ1	Arabidopsis thaliana	Plants	1278		False
P41698	P41698	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	603		False
O23193	O23193	Arabidopsis thaliana	Plants	236		False
Q23272	Q23272	Caenorhabditis elegans	Metazoa	488		False
Q07349	Q07349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420		False
Q9BV90	Q9BV90	Homo sapiens	Metazoa	132		False
Q12247	Q12247	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	151		False
Q42687	Q42687	Chlamydomonas reinhardtii	Plants	219		False
P16862	P16862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	959		False
Q8GXA4	Q8GXA4	Arabidopsis thaliana	Plants	489		False
Q10296	Q10296	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	138		False
Q12298	Q12298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539		False
O94751	O94751	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1044		False
P10518	P10518	Mus musculus	Metazoa	330		False
P35790	P35790	Homo sapiens	Metazoa	457		False
P25582	P25582	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	841		False
Q8K3Y6	Q8K3Y6	Rattus norvegicus	Metazoa	776		False
Q9NP94	Q9NP94	Homo sapiens	Metazoa	309		True
Q9VHJ6	Q9VHJ6	Drosophila melanogaster	Metazoa	592		False
P04160	P04160	Spinacia oleracea	Plants	508		True
Q9BZL1	Q9BZL1	Homo sapiens	Metazoa	73		False
P82195	P82195	Spinacia oleracea	Plants	166		False
P57728	P57728	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	148		False
Q12117	Q12117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	320		True
Q85FY6	Q85FY6	Cyanidioschyzon merolae (strain NIES-3377 / 10D)	Other	732		True
O80506	O80506	Arabidopsis thaliana	Plants	93		False
P16658	P16658	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	377		False
P08659	P08659	Photinus pyralis	Metazoa	550		False
Q149B8	Q149B8	Mus musculus	Metazoa	807		False
Q9WVL3	Q9WVL3	Mus musculus	Metazoa	1083		False
G2XEY9	G2XEY9	Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137)	Fungi	653		False
P38827	P38827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1080		False
C8VSZ2	C8VSZ2	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	370		False
P25441	P25441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	422		False
P82139	P82139	Spinacia oleracea	Plants	232		False
W2SDE2	W2SDE2	Cyphellophora europaea (strain CBS 101466)	Fungi	346		False
Q65ZG8	Q65ZG8	Caenorhabditis elegans	Metazoa	597		False
P02730	P02730	Homo sapiens	Metazoa	911		False
Q8C006	Q8C006	Mus musculus	Metazoa	501		False
P56537	P56537	Homo sapiens	Metazoa	245		False
P82869	P82869	Arabidopsis thaliana	Plants	466		False
Q15760	Q15760	Homo sapiens	Metazoa	415		True
Q9SRP6	Q9SRP6	Arabidopsis thaliana	Plants	194		False
P15884	P15884	Homo sapiens	Metazoa	667		False
Q6ZSZ5	Q6ZSZ5	Homo sapiens	Metazoa	1361		False
Q9NRP7	Q9NRP7	Homo sapiens	Metazoa	1315		False
O75817	O75817	Homo sapiens	Metazoa	140		False
P38777	P38777	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	243		False
Q1MTQ7	Q1MTQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	633		False
P28007	P28007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205		False
P28519	P28519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	371		False
P38848	P38848	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	579		False
Q54HC6	Q54HC6	Dictyostelium discoideum	Other	1460		False
Q58WW2	Q58WW2	Homo sapiens	Metazoa	860		False
Q09728	Q09728	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	411		False
P03069	P03069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281		False
P32828	P32828	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	619		False
Q9UT03	Q9UT03	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	677		False
A0A7J6KE60	A0A7J6KE60	Toxoplasma gondii	Other	652		True
P81449	P81449	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	96		False
A1YKT1	A1YKT1	Arabidopsis thaliana	Plants	433		False
Q8W4D8	Q8W4D8	Arabidopsis thaliana	Plants	314		False
P82920	P82920	Bos taurus	Metazoa	87		False
D3KY99	D3KY99	Carapichea ipecacuanha	Plants	350		False
P53064	P53064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	558		False
Q9FJF4	Q9FJF4	Arabidopsis thaliana	Plants	306		False
Q8GTS1	Q8GTS1	Arabidopsis thaliana	Plants	227		False
P41958	P41958	Caenorhabditis elegans	Metazoa	280		False
Q9H7L9	Q9H7L9	Homo sapiens	Metazoa	328		False
Q04411	Q04411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	772		False
Q80Z30	Q80Z30	Rattus norvegicus	Metazoa	750		False
Q96LW4	Q96LW4	Homo sapiens	Metazoa	560		False
Q5VWP2	Q5VWP2	Homo sapiens	Metazoa	391		False
P80428	P80428	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	489		False
P41277	P41277	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		False
P18576	P18576	Rattus norvegicus	Metazoa	341		False
G5EFF5	G5EFF5	Caenorhabditis elegans	Metazoa	753		False
F6TQD1	F6TQD1	Mus musculus	Metazoa	307		False
Q10335	Q10335	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	397		False
Q6PCN7	Q6PCN7	Mus musculus	Metazoa	1003		False
Q0WSX8	Q0WSX8	Arabidopsis thaliana	Plants	255		False
P47131	P47131	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	105		True
Q03201	Q03201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203		False
Q6P0N0	Q6P0N0	Homo sapiens	Metazoa	1132		False
P36532	P36532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	105		False
O61660	O61660	Caenorhabditis elegans	Metazoa	759		False
P08468	P08468	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	800		False
Q15004	Q15004	Homo sapiens	Metazoa	111		False
Q96L50	Q96L50	Homo sapiens	Metazoa	414		False
Q9P0M9	Q9P0M9	Homo sapiens	Metazoa	148		False
A0A075TMP0	A0A075TMP0	Penicillium expansum	Fungi	340		False
Q76PC4	Q76PC4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	562		False
Q09750	Q09750	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1522		False
Q9VC61	Q9VC61	Drosophila melanogaster	Metazoa	755		False
Q96S44	Q96S44	Homo sapiens	Metazoa	253		False
O82204	O82204	Arabidopsis thaliana	Plants	143		False
Q8IN94	Q8IN94	Drosophila melanogaster	Metazoa	2716		False
Q55GJ6	Q55GJ6	Dictyostelium discoideum	Other	214		False
Q15833	Q15833	Homo sapiens	Metazoa	593		False
Q8R2K4	Q8R2K4	Mus musculus	Metazoa	616		False
Q7L592	Q7L592	Homo sapiens	Metazoa	441		False
P29144	P29144	Homo sapiens	Metazoa	1249		False
Q6VN19	Q6VN19	Mus musculus	Metazoa	620		False
P86452	P86452	Homo sapiens	Metazoa	979		False
Q3UHC2	Q3UHC2	Mus musculus	Metazoa	2014		False
Q8WXU2	Q8WXU2	Homo sapiens	Metazoa	420		False
Q11120	Q11120	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	515		False
F4IY62	F4IY62	Arabidopsis thaliana	Plants	883		False
A0A2H1A5W4	A0A2H1A5W4	Candidozyma auris	Fungi	679		False
P49728	P49728	Chlamydomonas reinhardtii	Plants	206		True
P38937	P38937	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	262		False
Q9UBI1	Q9UBI1	Homo sapiens	Metazoa	195		False
P41895	P41895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	735		False
P51163	P51163	Mus musculus	Metazoa	265		False
Q08230	Q08230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	162		False
Q96AG3	Q96AG3	Homo sapiens	Metazoa	418		False
Q9SCL7	Q9SCL7	Arabidopsis thaliana	Plants	347		False
Q9ULR3	Q9ULR3	Homo sapiens	Metazoa	514		False
O43716	O43716	Homo sapiens	Metazoa	136		False
A2ALU4	A2ALU4	Mus musculus	Metazoa	1481		False
P53921	P53921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	115		False
Q12167	Q12167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365		False
S0DPL8	S0DPL8	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831)	Fungi	389		False
F8VPJ6	F8VPJ6	Mus musculus	Metazoa	1459		False
P92276	P92276	Chlamydomonas reinhardtii	Plants	62		True
P11930	P11930	Mus musculus	Metazoa	357		False
P49367	P49367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	693		False
P29467	P29467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	408		False
Q15428	Q15428	Homo sapiens	Metazoa	464		False
P20143	P20143	Hordeum vulgare	Plants	143		False
Q9JJK4	Q9JJK4	Rattus norvegicus	Metazoa	372		True
Q96IZ2	Q96IZ2	Homo sapiens	Metazoa	230		True
Q9NYV7	Q9NYV7	Homo sapiens	Metazoa	291		True
P26645	P26645	Mus musculus	Metazoa	309		False
Q9LS24	Q9LS24	Arabidopsis thaliana	Plants	292		False
Q6P8X9	Q6P8X9	Mus musculus	Metazoa	189		False
P36130	P36130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	643		False
Q8CC88	Q8CC88	Mus musculus	Metazoa	1905		False
O49629	O49629	Arabidopsis thaliana	Plants	310		False
P36118	P36118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	322		False
Q9LUI3	Q9LUI3	Arabidopsis thaliana	Plants	695		False
Q9UTI3	Q9UTI3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	177		False
Q9W4S7	Q9W4S7	Drosophila melanogaster	Metazoa	717		False
Q5AP80	Q5AP80	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	785		False
Q03375	Q03375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135		False
O75616	O75616	Homo sapiens	Metazoa	437		False
Q21502	Q21502	Caenorhabditis elegans	Metazoa	870		False
Q8NBF2	Q8NBF2	Homo sapiens	Metazoa	726		False
Q8S950	Q8S950	Nicotiana tabacum	Plants	959		False
Q6P3S6	Q6P3S6	Homo sapiens	Metazoa	717		False
F4KFT7	F4KFT7	Arabidopsis thaliana	Plants	617		False
Q06139	Q06139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	101		False
Q8SWX0	Q8SWX0	Drosophila melanogaster	Metazoa	167		False
P53032	P53032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	299		False
Q8K3J1	Q8K3J1	Mus musculus	Metazoa	212		False
Q9M3B8	Q9M3B8	Arabidopsis thaliana	Plants	597		False
Q5XG73	Q5XG73	Mus musculus	Metazoa	508		False
Q05979	Q05979	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	453		False
Q9UNA4	Q9UNA4	Homo sapiens	Metazoa	740		False
Q7Z4V0	Q7Z4V0	Homo sapiens	Metazoa	828		False
F4K933	F4K933	Arabidopsis thaliana	Plants	483		False
Q14642	Q14642	Homo sapiens	Metazoa	412		False
Q8GWR1	Q8GWR1	Arabidopsis thaliana	Plants	447		False
Q1K8F6	Q1K8F6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	712		False
Q9NPI8	Q9NPI8	Homo sapiens	Metazoa	374		False
P40043	P40043	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161		False
P30316	P30316	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1086		False
O95551	O95551	Homo sapiens	Metazoa	362		False
Q6ZQL4	Q6ZQL4	Mus musculus	Metazoa	677		False
Q9BLG3	Q9BLG3	Dictyostelium discoideum	Other	431		True
Q6UWF3	Q6UWF3	Homo sapiens	Metazoa	145		True
Q8N165	Q8N165	Homo sapiens	Metazoa	341		False
Q3KN41	Q3KN41	Drosophila melanogaster	Metazoa	1840		False
Q08236	Q08236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1176		False
O60284	O60284	Homo sapiens	Metazoa	1047		False
P25298	P25298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	677		False
Q9P6L9	Q9P6L9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1038		False
P31228	P31228	Bos taurus	Metazoa	341		False
O14174	O14174	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	473		False
Q8TBZ3	Q8TBZ3	Homo sapiens	Metazoa	569		False
P38770	P38770	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	471		False
